subdomain,name,public_register,population
innku,Innku,true,24,
demo,demo,true,3,
weare,Cúrsame,true,10,
udla,UDLA,true,207,
anidea4,anidea4,true,1,
redt,Cúrsame,true,5,
red,Cúrsam,true,8,
cjmm,Colegio José María Morelos ,false,2,
cluster,Cluster de Talento,true,1,
maestroscluster,Cluster de Talento,true,1,
emprendedores,Cluster de Talento,true,1,
red21,Red 21,true,18,
consejonacional,Consejo Nacional,true,3,
quorumm,Quorumm,true,6,
uvm,UVM,true,20,
ciebt,CIEBT,true,5,
cicataqro,CICATAQRO,true,1,
ffyl,Facultad de Filosofia y Letras,true,5,
amib,AMIB,true,4,
itmilpaalta2,Instituto Tecnológico de Milpa Alta II,true,1,
stecnica41,Secundaria Técnica No. 41 "Justo Sierra",true,1,
sdiurna85,Secundaria Diurna No. 85 "República de Francia",true,4,
cei-cuvalles, Centro Universitario de los Valles,true,3,
capacimac,Capacimac,true,4,
error,error,true,1,
gatuncillo,Gatuncillo,true,67,
oteima,Universidad Tecnologica Oteima,true,8,
pp,pp,true,1,
p2,prueba2,true,1,
p3,prueba3,true,1,
p4,prueba4,true,1,
p5,prueba5,true,1,
eysj,Enlaces y Soluciones Jurídicas,true,3,
flefranc,Centro de Estudios Superiores Frances Mexicano,true,1,
upibi,UPIBI,true,66,
icpa,ICPA,true,132,
arete,Areté Proyectos,true,46,
cics,cics santo tomas,true,667,
itgam,Instituto Tecnológico de Gustavo A- Madero,true,381,
ittlahuac,Instituto Tecnológico de Tláhuac,true,1657,
utez,Universidad Tecnológica Emiliano Zapata,true,2186,
gazelles,Gazelles Growth Institute,true,18,
pochutlatec,tecpochutla,true,102,
reyes,alfredo,true,2,
satd,satdernesto,true,1,
tecnologia,makarenko,false,2,
subdominio,Nombre de tu red,true,11,
uphuatusco,uphuatusco,true,1,
esca,InternationalBusiness,true,1,
marcomontesneri,marcomontesneri,true,1,
fiunam,Facultad de Ingeniería UNAM,true,2,
ingles,cobaem09,true,68,
descentralizados,DITD,true,1,
virtual,aula,true,1,
capacitacioninmujeresdf,capacitacioninmujeresdf,true,2,
maurooren,MaurooRen,true,1,
derechonline,Ecognocracia,true,1,
david,robeer,true,1,
tescha,tescha.edu.mx,true,2,
quintana,Jorge,true,1,
jorge,quintana,true,1,
maagiis,Maagiiss Saancheez,true,1,
voca1,Vocacional No. 1,true,87,
biblioteca,uamx,true,7,
solesito,sol,true,1,
robles,Isabel,true,1,
subdominio,Nombre de tu red,true,3,
tutor,Tutor - Cursos Digitales,true,2,
bna,Barra Nacional de Abogados A.C.,true,1,
ios,IOS ,true,1,
pruebas,pruebas,true,3,
subdominio,Nombre de tu red,true,1,
sol,solecitho,true,1,
subdominio,luis,true,1,
ese,Escuela Superior de Economía,true,2697,
jda,UE Juana de arco,true,1,
kent,Kent School,true,1,
edm,edm,true,2,
skychar,skychar,true,1,
edu,eximex,true,1,
institutoemo,institudoemo,true,1,
subdominio,periodistasdeportivos,true,1,
envite1,envite,true,1,
test,test,true,1,
codepixel,code pixel,false,1,
redprog,redprogramacion,true,2,
subdominio,advertising,true,1,
kiwus,kiwus,true,1,
burbujas,Burbujas,true,1,
boarts,kar_15,true,1,
free,LEAN,true,2,
mexico,LEAN,true,1,
subdominio,mhch,true,1,
ingenieria,cusa,true,2,
subdominio,itgam,true,1,
sophik-redes,Sophik,true,2,
irvingarq,http://IrvingITT.cursa.me,true,1,
gerardo,BRAYAN,true,1,
subdominio,http://edson.cursa.me,true,1,
itiztapalapa,Instituto Tecnológico de Iztapalapa,true,810,
itma,Instituto Tecnológico de Milpa Alta,true,105,
alfredotrifa,alfredot rifa free,true,1,
joan87,Nombre de tu red,true,1,
clases,calculo,true,2,
subdominio,ecestadistica,true,1,
alexander,AlejandroCp,true,1,
est30,EST 30,true,1,
est65,EST 65,true,1,
est90,EST 90,true,355,
icos,labanda,true,0,
est36,EST 36,true,30,
quimica,CET WCB IPN QUIMICA,true,3,
israhel,ISRAEL,true,1,
uns,uns,true,1,
prepa8unam,Prepa 8,false,1,
subred,red,true,1,
secundaria,Andresitos,true,1,
yarla,yarla macias,true,1,
est85,EST 85,true,1062,
estec22,est22,true,66,
avelino,avelino,true,115,
subdominio,Nombre de tu red,true,1,
itsa,instituto tecnologico superior de acayucan,true,6,
angelicah,angelica,true,1,
cobaem08,Cobaem 08,true,136,
cobaem34,Cobaem 34,true,532,
subdominio,carla,true,1,
ideame,Ideame,true,1,
subdominio,IPAE,true,1,
ayuntamiento,tlacotalpan,true,1,
alvarado,ESBA,true,84,
itaudit,Auditoria TI,true,1,
comunicologos,Comunicólogos en acción ,true,1,
subdominio,Camino,true,1,
cbtis36,dgeti,true,1,
cursame,itspa.edu.mx,true,4,
fcen,uba,false,1,
yangga,Yangga,true,3,
qms,Queen Mary School,true,371,
prueba,igeorge,true,1,
subdominio,DISEÑO INDUSTRIAL E.S.T.40,true,1,
rcc,rcc,true,1,
cole2,Colegio MVC,true,3,
lshimokawa,lshimokawa,true,1,
epsonrivas,EpsonRivas,true,1,
tecnica2,est2_jojutla,true,2,
santive,santive,true,2,
xalapatec,tecXalapa,false,20,
subdominio,http://brenda.cursa.me,true,1,
daci,UNACAR,true,1,
alicush,Alicia,true,1,
capacitacion,uicui,false,1,
est,est114,true,10,
subdominio,seanmexico,true,1,
subdominio,itszongolica,true,0,
englishworld,englishclass,true,1,
italfredot,italfredot,true,1,
unipaz,Informática,false,1,
itnachotl,itnachotl,true,1,
expociencias,REDNacional,true,4,
p10,sansebastian,true,106,
northkastt,Northkastt,true,2,
sadda,saddai057,true,1,
jojutla,villasdejojutla,true,1,
utsem,utsem,true,1,
roomclass,room,true,4,
cobaem33,cobaem33,true,751,
cobaem09,cobaem09,true,964,
cobaem05,cobaem05,true,344,
man,redes,true,1,
concreto,Tecnología del concreto,true,80,
icaticom,Icati com,true,1,
val,shantal,true,1,
itapizaco,Instituto Tecnológico de Apizaco,true,405,
dejavu,rabbit,true,1,
yazmin,http://yazmin.cursa.me,true,2,
admin,Fisica1401,true,1,
zinacantepec,Cobaem01,true,10,
cobaem01,COBAEM 01,true,355,
cobaem11,COBAEM11,true,5,
rivera,THEZIAKITO,true,1,
subdominio,daniieliitha agulilar,true,1,
subdominio,Nombre de tu red,true,1,
computacion,cuc-computacion,true,1,
iejmf,sylvanadejesus,true,7,
subdominio,Nombre de tu red,true,1,
redsoftmex,Eduardo,true,1,
catenet,catenet,true,1,
hpijnn,Hospital Psiquiátrico Infantil "Dr. Juan N. Navarro,true,139,
mtrozarate,MtroSancheZarate,true,1,
maxbsnz,Max Bahena,true,1,
subdominio,Nombre de tu red,true,1,
subdominio,clasedigital,true,1,
do-ob,do-ob,true,1,
subdominio,Nombre de tu red,true,1,
subdominio,Nombre de tu red,true,1,
subdominio,202,true,1,
exa,Soluciones Exa,true,6,
firmamento,firmamento,true,1,
subdominio,Nombre de tu red,true,1,
jimenez,gianni,true,1,
subdominio,Nombre de tu red,true,1,
ru,ru,true,1,
subdominio,Lo Hago,true,1,
escuelita,Nombre de tu red,true,1,
ticpreescolar,TIACE,true,2,
academica,cobamich,true,1,
205,erick  rojas casrdoso,true,1,
cobaem,cobaem,true,5,
kloudbits,Klouid Bits,true,1,
sladgdivma,emprendedor,true,1,
carlosmkx,carlos_red,true,1,
carp,c@rlos all,true,2,
subdominio,Nombre de tu red,true,1,
training,Training,true,2,
subdominio,pva,true,1,
subdominio,crisoobrero,true,1,
mla,liceo miguel luis amunategui,true,2,
cuarto,linguaelit,true,1,
rei,Emprendedores,true,3,
itszongolica,itszongolica,true,9,
ohenriquez,EIJO,true,1,
subdominio,ejorgo,true,1,
subdominio,cientilocos,true,1,
benm,benemerita.escuela.nacional.de.maestros.com,true,1,
iindustrialusabessfpe,INGENIERIA INDUSTRIAL UNIVERSIDAD DEL SABES SAN FELIPE,true,1,
udem,Universidad de Morelia,true,1,
nmedios,nmedios,true,1,
powershop,POWERSHOP,true,1,
plantelcvca,uaztlan,true,2,
jalhe,upnac,true,2,
testone,prueba,true,4,
upn,UPN,true,1,
autos,Autos,true,1,
intelimundo,intelimundo,true,3,
rug,lideranca,true,23,
2013,braulio,true,1,
rush,RushNetMx,true,2,
wsm,WSM,true,1,
maestria,unacar,true,1,
pita837,pitamor,true,1,
alecomputo,Ale,true,1,
santidade,Santidade,true,1,
kerigma,KERIGMA WEB,true,3,
hsmty,hsmty,true,1,
yprmx,vervemx,true,1,
utng,Universidad Tecnológica del Norte de Guanajuato,true,81